date,domain,nps,csat,churn_rate_pct,new_customers,avg_resolution_time_hrs,customer_lifetime_value
2024-08-01,Customer,51.5,4.12,2.97,196,4.4,1170.0
2024-08-31,Customer,52.3,4.06,3.13,290,4.6,1214.0
2024-09-30,Customer,60.2,4.1,3.35,414,4.1,1230.0
2024-10-30,Customer,55.0,4.09,3.11,274,4.2,1299.0
2024-11-29,Customer,56.7,4.09,3.16,235,4.3,1270.0
2024-12-29,Customer,56.3,4.22,2.79,387,3.9,1217.0
2025-01-28,Customer,56.7,4.19,2.68,375,4.1,1212.0
2025-02-27,Customer,48.7,4.11,2.36,250,4.0,1276.0
2025-03-29,Customer,52.4,4.25,2.23,247,4.0,1211.0
2025-04-28,Customer,49.7,4.21,2.25,352,3.7,1345.0
2025-05-28,Customer,48.7,4.27,1.99,107,3.9,1327.0
2025-06-27,Customer,53.7,4.26,2.69,127,4.0,1269.0
2025-07-27,Customer,56.0,4.15,2.24,248,4.3,1227.0
2025-08-26,Customer,57.2,4.19,2.37,342,4.1,1358.0
2025-09-25,Customer,60.7,4.3,2.96,435,4.4,1307.0
2025-10-25,Customer,60.7,4.3,2.91,616,5.6,1370.0
2025-11-24,Customer,61.4,4.26,2.79,523,6.4,1264.0
2025-12-24,Customer,60.9,4.28,2.62,362,3.7,1312.0
2026-01-23,Customer,41.2,3.59,2.26,204,4.3,1344.0
2026-02-22,Customer,35.9,3.48,3.42,116,3.4,1015.0
2026-03-24,Customer,39.4,3.56,3.46,351,3.3,1006.0
2026-04-23,Customer,49.4,4.29,3.02,310,3.4,1393.0
2026-05-23,Customer,54.0,4.3,1.99,408,2.9,1333.0
2026-06-22,Customer,57.6,4.42,1.88,250,3.4,1378.0
