date,domain,revenue,revenue_target,gross_profit,gross_margin_pct,ebitda,ebitda_margin_pct,ar_days,cash_balance
2024-08-01,Finance,5074507.0,5000000.0,2172730.0,42.82,734431.0,14.47,44.3,8094758.0
2024-08-31,Finance,5319260.0,5050000.0,2145450.0,40.33,749838.0,14.1,76.7,8123538.0
2024-09-30,Finance,5696769.0,5100000.0,2342991.0,41.13,729433.0,12.8,-6.6,8081636.0
2024-10-30,Finance,5948454.0,5150000.0,2286375.0,38.44,643714.0,10.82,62.6,8044932.0
2024-11-29,Finance,5644492.0,5200000.0,2274893.0,40.3,732644.0,12.98,48.3,7707081.0
2024-12-29,Finance,5464879.0,5250000.0,2237187.0,40.94,673594.0,12.33,41.0,8065393.0
2025-01-28,Finance,5476882.0,5300000.0,2349723.0,42.9,759729.0,13.87,49.2,8130331.0
2025-02-27,Finance,5095115.0,5350000.0,2074812.0,40.72,600730.0,11.79,8.0,8023271.0
2025-03-29,Finance,4729964.0,5400000.0,2110430.0,44.62,825735.0,17.46,43.8,8268389.0
2025-04-28,Finance,4841384.0,5450000.0,2255435.0,46.59,914817.0,18.9,55.7,8489296.0
2025-05-28,Finance,4810872.0,5500000.0,2086199.0,43.36,723218.0,15.03,78.6,9003579.0
2025-06-27,Finance,5070141.0,5550000.0,2298359.0,45.33,829258.0,16.36,39.0,8495865.0
2025-07-27,Finance,5516294.0,5600000.0,2299561.0,41.69,781432.0,14.17,33.6,8562416.0
2025-08-26,Finance,5533008.0,5650000.0,2403511.0,43.44,864542.0,15.63,40.2,8496177.0
2025-09-25,Finance,5820878.0,5700000.0,1795459.0,30.85,230012.0,3.95,68.9,7945993.0
2025-10-25,Finance,6115657.0,5750000.0,2367047.0,38.7,727819.0,11.9,57.6,8591516.0
2025-11-24,Finance,6007691.0,5800000.0,2300598.0,38.29,569631.0,9.48,40.8,8659274.0
2025-12-24,Finance,6027137.0,5850000.0,2425498.0,40.24,656157.0,10.89,62.1,9468237.0
2026-01-23,Finance,4020333.0,5900000.0,1695514.0,42.17,572716.0,14.25,54.1,8658444.0
2026-02-22,Finance,3778671.0,5950000.0,1660789.0,43.95,564840.0,14.95,72.0,5756722.0
2026-03-24,Finance,5500232.0,6000000.0,2574981.0,46.82,1015025.0,18.45,52.6,5712780.0
2026-04-23,Finance,5206134.0,6050000.0,2398974.0,46.08,974843.0,18.72,63.2,8466023.0
2026-05-23,Finance,5370514.0,6100000.0,2432254.0,45.29,909101.0,16.93,62.0,9245703.0
2026-06-22,Finance,5406288.0,6150000.0,2266009.0,41.91,669097.0,12.38,24.9,9160619.0
