date,domain,oee_pct,oee_target_pct,defect_rate_pct,on_time_delivery_pct,inventory_turnover,downtime_hours,unit_cost
2024-08-01,Operations,83.2,88.0,1.85,93.7,6.56,15.7,41.37
2024-08-31,Operations,82.2,88.0,1.94,92.1,6.18,17.1,42.06
2024-09-30,Operations,86.9,88.0,1.51,91.2,6.65,16.1,42.7
2024-10-30,Operations,83.2,88.0,1.48,91.0,6.77,17.6,43.14
2024-11-29,Operations,85.9,88.0,1.82,92.2,6.43,24.1,41.64
2024-12-29,Operations,87.3,88.0,1.76,93.4,6.8,11.4,42.48
2025-01-28,Operations,81.1,88.0,1.73,94.3,6.82,18.9,42.52
2025-02-27,Operations,80.4,88.0,1.73,96.0,6.51,11.8,42.53
2025-03-29,Operations,80.4,88.0,1.5,95.7,7.01,15.0,44.61
2025-04-28,Operations,61.7,88.0,3.5,97.7,7.12,54.5,43.67
2025-05-28,Operations,60.9,88.0,3.48,95.4,7.32,45.3,42.49
2025-06-27,Operations,81.7,88.0,3.02,98.3,7.37,12.6,44.38
2025-07-27,Operations,81.6,88.0,1.93,94.8,4.68,13.5,45.5
2025-08-26,Operations,85.5,88.0,1.63,92.0,4.81,17.4,44.78
2025-09-25,Operations,84.6,88.0,1.28,91.0,7.35,13.0,52.32
2025-10-25,Operations,88.8,88.0,1.63,92.6,7.4,15.6,53.51
2025-11-24,Operations,85.0,88.0,1.29,81.9,7.45,14.9,45.41
2025-12-24,Operations,84.7,88.0,1.62,83.5,8.51,12.6,43.98
2026-01-23,Operations,85.0,88.0,1.67,94.6,7.57,20.8,45.06
2026-02-22,Operations,80.6,88.0,1.26,94.9,7.79,16.1,45.47
2026-03-24,Operations,81.7,88.0,1.59,94.7,7.79,7.9,44.26
2026-04-23,Operations,83.1,88.0,1.46,94.2,7.75,14.4,45.1
2026-05-23,Operations,79.2,88.0,1.52,95.2,7.51,11.6,42.71
2026-06-22,Operations,83.1,88.0,1.72,96.0,7.88,16.0,44.63
